Title,Price,Rating
"BLACK+DECKER 4-Slice Crisp 'N Bake Air Fry Toaster Oven, TO1787SS, 5 Cooking Functions, 30 Minute Timer, Stainless Steel",39.96,4.4 out of 5 stars
"OVENTE Electric 2 Slice Toaster Machine with 6-Shade Toast Settings, 700W Power, Removable Crumb Tray and Compact Design Perfect for Toasting Bread, Bagels, Waffles and Puff Pastry, Black TP2210B",15.99,4.0 out of 5 stars
"Runnatal 2 Slice Toaster, 100% Stainless Steel, Wide Slot Toaster Multifunctional with 7 Toast Settings, Defrost, BAGEL, Cancel Functions, Easy to Operate and Clean 120V 800W Silver Metallic",25.99,4.3 out of 5 stars
"BLACK+DECKER® 2-Slice Toaster with 7 Toast Shade Settings, Extra-Wide Slots for Bagels, Stainless Steel Exterior Finish",24.99,4.2 out of 5 stars
"Elite Gourmet ECT-1027 Cool Touch Toaster, 7 Toast Settings Cancel Functions, Slide Out Crumb Tray, Extra Wide 1.5"" Slots for Bagels Waffles Specialty Breads, Puff Pastry, Snacks, White",15.99,4.1 out of 5 stars
"BELLA 2 Slice Toaster with Auto Shut Off - Extra Wide Slots & Removable Crumb Tray and Cancel, Defrost & Reheat Function - Toast Bread, Bagel & Waffle, Blue",24.99,4.4 out of 5 stars
"Hamilton Beach 2 Slice Toaster with Extra-Wide Slots, Bagel Setting, Toast Boost, Slide-Out Crumb Tray, Auto-Shutoff & Cancel Button, Defrost Function, Stainless Steel (22794)",29.99,4.3 out of 5 stars
"SEEDEEM Toaster 2 Slice, Stainless Toaster Color LCD Display, 7 Shade Settings, Warming Rack, 1.4'' Wide Slots Toaster, Bagel, Defrost, Reheat Functions, Removable Crumb Tray, 900W, Dark Metallic",37.99,4.5 out of 5 stars
"Toaster 2 Slice, CUSIMAX Stainless Steel Toaster with Large LED Display, Bread Toaster 1.5'' Extra-wide Slots with 6 Browning Settings, Cancel/Bagel/Defrost Function, Removable Crumb Tray, Silver",39.99,4.5 out of 5 stars
"BLACK+DECKER 2-Slice Toaster, Rapid Toast, Stainless Steel, TR3500SD",37.99,4.2 out of 5 stars
"Nostalgia Retro Wide 2-Slice Toaster, Vintage Design With Crumb Tray, Cord Storage & 5 Toasting Levels, Red",34.99,4.7 out of 5 stars
"Frigidaire ETO102-BLACK, 2 Slice Toaster, Retro Style, Wide Slot for Bread, English Muffins, Croissants, and Bagels, 5 Adjustable Toast Settings, Cancel and Defrost, 900w, Black",36.34,4.4 out of 5 stars
"Hamilton Beach 2 Slice Extra Wide Slot Toaster with Bagel & Defrost Settings, Shade Selector, Toast Boost, Auto Shutoff, Black & Stainless Steel (22633)",28.99,4.4 out of 5 stars
"Hamilton Beach 2 Slice Toaster with Extra Wide Slots, Shade Selector, Auto-Shutoff, Cancel Button and Toast Boost, Black",21.99,4.2 out of 5 stars
"Proctor Silex 4 Slice Toaster with Extra Wide Slots for Bagels, Cool-Touch Walls, Shade Selector, Toast Boost, Auto Shut-off and Cancel Button, White (24214PS)",39.99,4.2 out of 5 stars
Amazon Basics 4 Slot Toaster - Black,39.99,4.5 out of 5 stars
"2 slice toaster, Retro Bagel Toaster Toaster with 7 Bread Shade Settings, 2 Extra Wide Slots, Defrost/Bagel/Cancel Function, Removable Crumb Tray, Stainless Steel Toaster by Yabano, Silver",37.99,4.5 out of 5 stars
"Dominion 2-Slice Toaster with Shade Control, Slide-Out Crumb Tray, Auto-Shutoff, Toast Lift, Black",13.99,3.7 out of 5 stars
"Runnatal 2 Slice Toaster, 100% Stainless Steel, Wide Slot Toaster Multifunctional with 7 Toast Settings, Defrost, BAGEL, Cancel Functions, Easy to Operate and Clean 120V 800W Silver Metallic",25.99,4.3 out of 5 stars
"BELLA 2 Slice Toaster with Auto Shut Off - Extra Wide Slots & Removable Crumb Tray and Cancel, Defrost & Reheat Function - Toast Bread, Bagel & Waffle, Aqua",24.91,4.4 out of 5 stars
Smart Toaster Digital Tuch Screen Toaster with 5 Bread Selection 7 Shade Setting and Bagel/Defrost/Cancel/Reheat Function 1.5” 2 Slice Stainless Steel Toaster with Removable Crumb Tray,34.99,5.0 out of 5 stars
"YSSOA 2-Slice Toaster with Extra Wide Slot & Removable Crumb Tray, 5 Browning Setting and 3 Function: Bagel/Defrost/Cancel, Retro Stainless-Steel Style, for Bread & Waffle, Black",28.81,4.4 out of 5 stars
"Toaster 2 Slice, Extra-Wide Slot Toasters for Bagels, Bread, Waffles, 7 Shade Settings, 4 Main Functions, Removable Crumb Tray, 900 Watts, Brushed Stainless Steel",32.99,4.4 out of 5 stars
